Record_ID,Process_ID,Process_Name,Machine_ID,Cycle_Time_min,Setup_Time_min,Waiting_Time_min,Defect_Rate,Inventory_Level,Machine_Utilization,Production_Output_units_hr,Lead_Time_min,Efficiency_Score,Is_Bottleneck,Shift,Day_Of_Week,Process_Enc,Machine_Enc,Shift_Enc,Util_x_CycleTime,Wait_to_Cycle_Ratio,Total_Process_Time,Defect_x_Output,High_Inventory,Log_Lead_Time,Log_Waiting
408,P02,Cutting,M04,7.39,0.5,3.76,0.0513,12,0.4404,3.84,12.11,47.29,0,Morning,2,1,3,1,3.254556,0.5087949813329076,11.649999999999999,0.19699199999999997,0,2.5733752977756086,1.5602476682433286
409,P07,Quality Inspection,M04,10.64,1.44,36.23,0.1102,54,0.8427,3.88,46.43,68.77,1,Morning,4,5,3,1,8.966328,3.405071987714297,48.309999999999995,0.427576,1,3.85925493988949,3.6171148878846253
410,P10,Dispatch,M02,6.44,2.12,2.21,0.0864,9,0.506,4.8,10.9,51.51,0,Morning,3,2,1,1,3.25864,0.3431671689950792,10.77,0.41472000000000003,0,2.4765384001174837,1.1662709371419244
411,P02,Cutting,M05,9.39,3.5,8.09,0.07,13,0.5463,3.73,21.81,58.35,0,Morning,3,1,4,1,5.129757000000001,0.8615539280575846,20.98,0.2611,0,3.1271990362962967,2.2071749081893874
412,P08,Packaging,M09,6.99,8.33,0.46,0.1073,22,0.6542,4.61,16.07,53.75,1,Afternoon,4,4,8,0,4.572858,0.06580820342174046,15.780000000000001,0.49465300000000006,0,2.837322536806349,0.3784364357202451
413,P07,Quality Inspection,M03,12.06,0.56,19.81,0.0957,189,0.8023,3.54,32.51,71.15,1,Afternoon,1,5,2,0,9.675738,1.6426188701336066,32.43,0.33877799999999997,1,3.511843901749219,3.035433640405543
414,P01,Raw Material Intake,M01,4.4,2.4,0.76,0.1588,59,0.6935,8.97,7.92,65.8,1,Night,3,6,0,2,3.0514,0.17272688016618146,7.5600000000000005,1.424436,1,2.188295946591918,0.5653138090500605
415,P10,Dispatch,M07,3.45,20.06,11.41,0.112,1,0.6337,10.12,35.39,58.2,1,Night,3,2,6,2,2.186265,3.307236790617998,34.92,1.13344,0,3.5942940116240685,2.5185025992165158
416,P08,Packaging,M04,9.96,3.3,1.95,0.0666,23,0.4964,2.1,15.94,34.9,0,Morning,2,4,3,1,4.9441440000000005,0.19578293596090765,15.21,0.13986,0,2.8296776892239084,1.0818051703517284
417,P04,Welding,M09,23.84,0.5,51.17,0.1816,59,0.6795,2.01,76.2,79.68,1,Night,2,9,8,2,16.199279999999998,2.1463917171175684,75.51,0.365016,1,4.3463994570307305,3.9545076170343014
418,P06,Assembly,M06,19.56,3.05,44.9,0.2143,13,0.8272,1.72,68.64,56.23,1,Afternoon,2,0,5,0,16.180032,2.2954998489264575,67.50999999999999,0.368596,0,4.243339114899988,3.8264651170664994
419,P09,Storage,M09,2.93,1.58,9.66,0.103,24,0.7736,14.12,15.15,68.99,1,Morning,4,7,8,1,2.266648,3.296917075368343,14.17,1.4543599999999999,0,2.7819200496686656,2.3664984187376983
420,P05,Surface Treatment,M09,20.25,1.99,9.83,0.0976,3,0.4284,0.97,32.24,32.83,0,Morning,1,8,8,1,8.6751,0.48543185904599556,32.07,0.094672,0,3.5037539699872475,2.382320061012899
421,P06,Assembly,M10,31.95,2.31,13.31,0.2652,57,0.6984,1.51,47.6,80.56,1,Night,4,0,9,2,22.31388,0.41658828901774997,47.57,0.400452,1,3.883623530906448,2.6609585935683597
422,P10,Dispatch,M01,5.43,1.42,8.23,0.0606,65,0.4313,4.62,14.7,41.85,0,Morning,4,2,0,1,2.341959,1.5156509840681696,15.08,0.279972,1,2.7536607123542622,2.222459048514761
423,P03,Forming,M02,12.29,0.94,3.77,0.1553,6,0.6687,3.01,17.37,61.65,1,Morning,5,3,1,1,8.218323,0.30675320850023724,17.0,0.46745299999999995,0,2.9107188992270343,1.5623463049002497
424,P04,Welding,M09,20.33,5.87,10.36,0.1244,40,0.6117,0.93,35.88,31.43,1,Afternoon,4,9,8,0,12.435861,0.5095914856903662,36.56,0.115692,1,3.607669398688393,2.4300984132930052
425,P08,Packaging,M08,7.99,10.2,0.67,0.2349,25,0.5487,2.59,19.43,34.49,1,Morning,4,4,7,1,4.384113,0.083854713573575,18.86,0.608391,0,3.0170044088295307,0.5128236264286639
426,P09,Storage,M06,2.76,0.5,1.27,0.1311,8,0.7148,13.69,5.77,62.95,1,Afternoon,3,7,5,0,1.9728479999999997,0.460143260350506,4.529999999999999,1.7947589999999998,0,1.9125010869241836,0.8197798314933114
427,P06,Assembly,M03,21.39,13.36,2.35,0.2392,31,0.6998,1.64,37.6,58.37,1,Morning,2,0,2,1,14.968722,0.10986437126490357,37.1,0.39228799999999997,0,3.653252276470785,1.208960345836975
428,P03,Forming,M10,13.5,2.09,0.92,0.0649,2,0.2415,0.89,17.7,20.11,0,Afternoon,5,3,9,0,3.26025,0.06814809766807581,16.51,0.057761,0,2.928523523860541,0.6523251860396903
429,P03,Forming,M05,11.19,5.51,0.21,0.1803,4,0.6593,3.36,16.85,62.72,1,Morning,3,3,4,1,7.377567,0.018766739261180287,16.91,0.6058079999999999,0,2.8820035082256483,0.19062035960864973
430,P10,Dispatch,M07,4.54,8.46,0.32,0.3001,20,0.7574,7.21,13.85,54.53,1,Morning,5,2,6,1,3.438596,0.07048442624575718,13.32,2.163721,0,2.6979998652487085,0.2776317365982795
431,P10,Dispatch,M10,5.56,0.5,3.57,0.1157,0,0.56,5.08,9.14,47.07,1,Morning,3,2,9,1,3.1136,0.6420851761057984,9.629999999999999,0.587756,0,2.316487998163037,1.5195132049061133
432,P03,Forming,M07,9.75,0.5,4.65,0.0783,39,0.4662,2.27,14.18,36.9,0,Night,4,3,6,2,4.54545,0.47692258777170493,14.9,0.17774099999999998,1,2.719978771967484,1.7316555451583497
433,P05,Surface Treatment,M04,17.65,11.7,0.59,0.0958,10,0.5508,1.1,30.21,32.31,0,Morning,2,8,3,1,9.721619999999998,0.03342774310042884,29.939999999999998,0.10538,0,3.440738556282688,0.4637340162321401
434,P05,Surface Treatment,M01,20.62,0.5,3.15,0.1212,7,0.7853,2.03,23.99,69.79,1,Morning,5,8,0,1,16.192886,0.15276423241307835,24.27,0.24603599999999998,0,3.218475744846861,1.423108334242607
435,P05,Surface Treatment,M04,18.88,7.21,2.96,0.1015,11,0.8037,2.04,28.45,64.27,1,Afternoon,3,8,3,0,15.173855999999999,0.15677957797691847,29.05,0.20706000000000002,0,3.3826939100975957,1.3762440252663892
436,P02,Cutting,M08,14.19,1.49,3.38,0.1009,18,0.245,1.41,20.19,33.42,1,Night,5,1,7,2,3.47655,0.2381957447528226,19.06,0.142269,0,3.0535293722802077,1.4770487243883548
437,P06,Assembly,M10,24.21,9.49,37.45,0.2115,3,0.726,1.79,71.92,72.05,1,Night,4,0,9,2,17.57646,1.5468808150017288,71.15,0.378585,0,4.289362949810462,3.649358695951653
438,P08,Packaging,M09,8.37,1.46,1.29,0.0552,85,0.5163,3.33,10.73,46.41,0,Afternoon,3,4,8,0,4.321431,0.15412167966346518,11.119999999999997,0.183816,1,2.462149662665384,0.8285518175661483
439,P05,Surface Treatment,M09,17.85,3.91,1.51,0.1374,20,0.5785,1.99,23.93,59.33,1,Afternoon,1,8,8,0,10.326225,0.08459379014353494,23.270000000000003,0.273426,0,3.2160718975354663,0.9202827531436926
440,P06,Assembly,M07,21.01,5.09,61.29,0.1369,5,0.649,1.43,86.3,50.04,1,Afternoon,4,0,6,0,13.63549,2.9171809056730575,87.39,0.195767,0,4.469350462845557,4.131800899266054
441,P09,Storage,M08,3.09,7.26,0.48,0.1187,2,0.7111,12.26,9.08,63.21,1,Morning,2,7,7,1,2.1972989999999997,0.15533930310905142,10.83,1.455262,0,2.3105532626432224,0.3920420877760237
442,P06,Assembly,M06,21.52,0.5,18.14,0.1285,62,0.4525,1.06,40.96,37.99,1,Night,3,0,5,2,9.7378,0.8429364112749019,40.16,0.13621,1,3.7367167835280966,2.9517803860248084
443,P07,Quality Inspection,M05,8.5,3.34,23.92,0.1391,4,0.3792,1.39,35.21,19.62,1,Night,2,5,4,2,3.2232,2.8141143363360754,35.760000000000005,0.193349,0,3.58933532377755,3.2156706939192525
444,P01,Raw Material Intake,M08,4.16,8.49,0.68,0.0935,32,0.5304,5.95,14.2,41.24,0,Morning,5,6,7,1,2.206464,0.1634611455260925,13.33,0.5563250000000001,0,2.7212954278522306,0.5187937934151675
445,P09,Storage,M05,3.28,5.76,7.85,0.0899,4,0.6794,11.2,16.01,61.24,0,Afternoon,1,7,4,0,2.2284319999999997,2.393285386325042,16.89,1.0068799999999998,0,2.8338014064077703,2.180417459019838
446,P04,Welding,M10,15.22,0.86,7.5,0.1254,38,0.7032,1.8,21.89,45.75,1,Morning,5,9,9,1,10.702704,0.49277234377638385,23.580000000000002,0.22572000000000003,0,3.1307001339644756,2.1400661634962708
447,P10,Dispatch,M07,5.09,3.34,4.98,0.1144,7,0.4502,4.78,15.63,40.53,1,Morning,4,2,6,1,2.291518,0.978387075860362,13.41,0.546832,0,2.8112082932048366,1.7884205679625405
448,P09,Storage,M03,3.11,9.43,0.1,0.0429,23,0.3291,6.53,12.04,33.8,0,Night,2,7,2,2,1.023501,0.03215423744618185,12.639999999999999,0.280137,0,2.5680215564985067,0.09531017980432487
449,P10,Dispatch,M08,3.36,1.54,3.84,0.0787,4,0.7828,12.65,7.9,70.84,0,Afternoon,2,2,7,0,2.630208,1.1428537415067217,8.74,0.9955550000000001,0,2.186051276738094,1.5769147207285403
450,P10,Dispatch,M02,2.89,2.84,2.66,0.1001,24,0.6205,11.58,7.27,55.82,1,Morning,2,2,1,1,1.7932450000000002,0.920412040096747,8.39,1.159158,0,2.1126345090356,1.297463147413275
451,P03,Forming,M01,11.54,0.5,8.26,0.1241,7,0.7762,3.25,19.05,62.55,1,Morning,2,3,0,1,8.957348,0.715770610250771,20.299999999999997,0.403325,0,2.998229153752578,2.225704048658088
452,P06,Assembly,M01,29.18,2.36,1.3,0.1282,49,0.6218,1.32,33.68,63.96,1,Morning,5,0,0,1,18.144124,0.04455104710382211,32.839999999999996,0.169224,1,3.546163151912341,0.832909122935104
453,P02,Cutting,M02,10.02,11.0,9.33,0.1893,7,0.6979,2.73,29.68,45.54,1,Morning,2,1,1,1,6.992958,0.9311367952726595,30.35,0.5167889999999999,0,3.4236109764990554,2.3350522831315472
454,P08,Packaging,M10,10.49,1.45,3.03,0.1028,1,0.5672,2.92,14.3,51.11,1,Afternoon,4,4,9,0,5.949928000000001,0.28884624514180635,14.969999999999999,0.300176,0,2.72785282839839,1.3937663759585914
455,P04,Welding,M03,23.06,6.15,27.56,0.1354,11,0.8095,2.6,56.92,99.96,1,Morning,4,9,2,1,18.66707,1.195142586668436,56.769999999999996,0.35204,0,4.059062748077461,3.3520071374713836
456,P10,Dispatch,M06,4.81,0.5,0.13,0.1358,13,0.6665,7.02,4.87,56.28,1,Night,2,2,5,2,3.2058649999999997,0.02702697083789847,5.4399999999999995,0.9533159999999999,0,1.7698546338400052,0.12221763272424921
457,P04,Welding,M04,24.28,4.18,12.76,0.1014,113,0.6793,1.15,40.18,46.53,1,Afternoon,1,9,3,0,16.493404,0.5255352036510693,41.22,0.11660999999999999,1,3.717952701599643,2.6217658325051976
458,P10,Dispatch,M03,4.73,3.39,2.07,0.1191,4,0.3915,3.64,11.06,28.64,1,Morning,4,2,2,1,1.8517950000000003,0.4376312100820082,10.190000000000001,0.433524,0,2.4898941912990393,1.1216775615991057
459,P07,Quality Inspection,M03,11.28,1.79,68.85,0.0999,38,0.7134,3.48,80.68,65.39,1,Morning,5,5,2,1,8.047152,6.103717993157807,81.91999999999999,0.347652,0,4.402809173856411,4.246350085702971
460,P01,Raw Material Intake,M09,6.08,4.26,9.61,0.1244,54,0.2486,1.91,19.92,19.33,1,Afternoon,4,6,8,0,1.511488,1.5805895056093657,19.95,0.23760399999999998,1,3.040705639196722,2.3617969526258915
461,P08,Packaging,M07,10.95,0.55,3.03,0.0465,25,0.6753,2.83,15.91,51.64,0,Morning,2,4,6,1,7.394534999999999,0.276712076062031,14.53,0.131595,0,2.827905162910489,1.3937663759585914
462,P05,Surface Treatment,M07,21.16,12.93,0.6,0.0885,17,0.5208,1.9,35.62,67.1,0,Afternoon,4,8,6,0,11.020128000000001,0.028355374123169127,34.690000000000005,0.16815,0,3.6005945392463645,0.4700036292457356
463,P08,Packaging,M04,6.12,9.45,1.77,0.0839,14,0.6481,5.34,17.84,54.5,0,Night,5,4,3,2,3.9663720000000002,0.28921521370063125,17.34,0.448026,0,2.935982269148217,1.0188473201992472
464,P08,Packaging,M09,4.48,0.8,2.79,0.0802,26,0.4976,5.92,9.06,44.25,0,Morning,5,4,8,1,2.229248,0.6227664670391361,8.07,0.47478399999999993,0,2.3085671646715933,1.332366019094335
465,P04,Welding,M07,22.0,4.7,20.63,0.1087,31,0.6894,1.47,45.71,53.86,1,Night,2,9,6,2,15.1668,0.937726846487797,47.33,0.15978900000000001,0,3.8439582745140166,3.0740812399649675
466,P07,Quality Inspection,M06,11.11,2.07,7.79,0.1886,15,0.2636,1.65,22.71,30.5,1,Afternoon,3,5,5,0,2.9285959999999998,0.7011694858960523,20.97,0.31118999999999997,0,3.165896900077314,2.1736147116970854
467,P07,Quality Inspection,M01,11.93,2.5,6.17,0.2153,23,0.724,3.22,19.04,64.08,1,Afternoon,3,5,0,0,8.637319999999999,0.5171831373150567,20.6,0.693266,0,2.997730276216664,1.969905654611529
468,P02,Cutting,M05,15.31,4.43,1.45,0.079,14,0.4646,0.95,22.39,24.15,0,Morning,4,1,4,1,7.1130260000000005,0.09470927843940011,21.19,0.07504999999999999,0,3.1523085805960878,0.8960880245566356
469,P09,Storage,M05,2.0,2.29,0.44,0.1293,33,0.758,20.21,2.79,67.46,1,Afternoon,1,7,4,0,1.516,0.21999890000549996,4.73,2.613153,0,1.332366019094335,0.3646431135879093
470,P02,Cutting,M04,11.64,8.25,2.3,0.063,14,0.9163,3.51,20.47,68.03,1,Afternoon,1,1,3,0,10.665732,0.19759433196363232,22.19,0.22113,0,3.0666566118906897,1.1939224684724346
471,P03,Forming,M06,19.03,15.3,3.64,0.0394,17,0.6451,2.21,38.37,70.15,0,Morning,2,3,5,1,12.276253,0.19127683064801332,37.97,0.087074,0,3.673004104955646,1.534714366238164
472,P06,Assembly,M09,27.64,9.75,6.19,0.1072,63,0.6573,1.67,44.23,76.87,1,Afternoon,2,0,8,0,18.167772,0.2239507149237645,43.58,0.179024,1,3.8117605834897517,1.9726911717329554
473,P05,Surface Treatment,M09,18.98,1.28,4.74,0.0909,14,0.5478,1.45,26.18,45.89,0,Night,3,8,8,2,10.397243999999999,0.24973643322632602,25.0,0.13180499999999998,0,3.3024814087229974,1.747459210331475
474,P07,Quality Inspection,M10,6.22,1.04,8.64,0.1711,81,0.5624,3.69,16.23,38.27,1,Morning,1,5,9,1,3.498128,1.3890652908918155,15.9,0.631359,1,2.8466520505398383,2.265921108622454
475,P07,Quality Inspection,M01,10.63,4.4,23.38,0.1686,56,0.3732,1.95,37.84,34.49,1,Night,2,5,0,2,3.967116,2.1994334906552298,38.41,0.32877,1,3.659450643423124,3.1937631240531252
476,P10,Dispatch,M10,6.18,16.3,3.58,0.0596,10,0.5429,4.31,26.05,44.43,0,Morning,2,2,9,1,3.355122,0.5792870885322193,26.060000000000002,0.256876,0,3.2976870052924907,1.5216989981260935
477,P05,Surface Treatment,M09,14.26,11.98,5.08,0.1858,38,0.7092,1.93,31.13,45.9,1,Morning,2,8,8,1,10.113192,0.35624098440323676,31.32,0.35859399999999997,0,3.469790173127767,1.8050046959780757
478,P03,Forming,M08,13.94,0.5,0.24,0.0781,12,0.3933,0.83,14.59,19.39,0,Night,4,3,7,2,5.482602,0.01721663040413888,14.68,0.064823,0,2.7466296830696852,0.2151113796169455
479,P03,Forming,M01,17.96,0.67,10.41,0.0968,52,0.487,0.69,27.38,20.59,0,Afternoon,5,3,0,0,8.74652,0.5796210581174509,29.040000000000003,0.06679199999999999,1,3.3456846717318967,2.4344901638739844
480,P10,Dispatch,M03,5.88,2.49,1.72,0.0732,11,0.5604,5.07,10.49,49.69,0,Afternoon,4,2,2,0,3.295152,0.2925165093256644,10.090000000000002,0.371124,0,2.4414770918606643,1.000631880307906
481,P05,Surface Treatment,M02,21.92,6.09,3.39,0.2445,7,0.7129,1.83,30.69,66.72,1,Morning,3,8,1,1,15.626768,0.15465321411805924,31.400000000000002,0.447435,0,3.4560011737028296,1.4793292270870801
482,P09,Storage,M08,3.67,0.69,3.02,0.2168,0,0.593,7.7,5.44,47.13,1,Afternoon,5,7,7,0,2.17631,0.8228860411824491,7.379999999999999,1.66936,0,1.8625285401162623,1.3912819026309295
483,P08,Packaging,M09,8.06,1.63,28.53,0.0845,54,0.4202,3.67,39.44,49.27,1,Night,2,4,8,2,3.3868120000000004,3.5396978415659537,38.22,0.31011500000000003,1,3.6998193941522706,3.3854066957558313
484,P01,Raw Material Intake,M05,5.52,2.94,5.52,0.09,0,0.3735,3.97,13.33,36.51,0,Afternoon,1,6,4,0,2.0617199999999998,0.9999981884090791,13.979999999999999,0.3573,0,2.6623552418400807,1.8748743759385615
485,P07,Quality Inspection,M04,8.36,6.16,9.17,0.095,11,0.7712,5.98,23.07,83.33,0,Night,1,5,3,2,6.447232,1.0968886400853588,23.689999999999998,0.5681,0,3.1809662517949806,2.3194422100604686
486,P09,Storage,M05,2.33,1.19,5.01,0.2336,28,0.5914,11.5,7.73,44.72,1,Night,1,7,4,2,1.3779620000000001,2.1502053639254766,8.53,2.6864,0,2.166765369851511,1.7934247485471162
487,P10,Dispatch,M05,5.53,0.89,9.63,0.0986,4,0.5113,5.7,16.46,52.57,0,Morning,5,2,4,1,2.827489,1.741407339227235,16.05,0.56202,0,2.859912550411456,2.363680192353857
488,P08,Packaging,M10,11.1,12.8,0.29,0.1225,42,0.8676,4.75,25.82,87.79,1,Morning,1,4,9,1,9.63036,0.026126102589096766,24.189999999999998,0.581875,1,3.2891478778535324,0.2546422183735807
489,P06,Assembly,M01,27.98,0.69,14.95,0.1035,18,0.7083,1.24,43.74,57.68,1,Morning,5,0,0,1,19.818234,0.5343100306254358,43.620000000000005,0.12833999999999998,0,3.8008679560619836,2.7694588292308535
490,P03,Forming,M02,15.6,3.64,12.91,0.0468,30,0.7612,3.37,31.7,87.75,0,Afternoon,3,3,1,0,11.87472,0.8275635720746334,32.15,0.15771600000000002,0,3.487375077903208,2.6326080059353516
491,P06,Assembly,M01,27.38,1.53,17.16,0.1078,24,0.6615,1.92,48.1,87.76,1,Morning,4,0,0,1,18.11187,0.6267346140487166,46.07,0.206976,0,3.893859034800475,2.8992213731731473
492,P09,Storage,M04,2.8,2.88,2.19,0.1093,92,0.7298,14.93,6.21,69.62,1,Afternoon,5,7,3,0,2.04344,0.7821400637854865,7.869999999999999,1.6318489999999999,1,1.9754689512968577,1.1600209167967532
493,P04,Welding,M05,18.83,3.59,8.93,0.2754,125,0.6022,1.8,29.84,56.61,1,Night,3,9,4,2,11.339425999999998,0.4742429770350627,31.349999999999998,0.49572,1,3.4288125486951286,2.295560478057081
494,P06,Assembly,M07,25.68,5.08,7.02,0.1668,11,0.8051,1.88,37.85,80.56,1,Morning,2,0,6,1,20.674968,0.27336437953100484,37.78,0.313584,0,3.6597080768136565,2.081938421878423
495,P01,Raw Material Intake,M06,4.34,15.92,0.77,0.1067,20,0.7466,8.81,20.15,63.76,1,Afternoon,4,6,5,0,3.240244,0.17741894603929487,21.029999999999998,0.9400270000000001,0,3.0516399054922867,0.5709795465857378
496,P02,Cutting,M05,8.67,2.21,6.54,0.0706,22,0.4588,3.42,16.73,49.46,0,Morning,4,1,4,1,3.9777959999999997,0.7543243894759061,17.419999999999998,0.24145199999999997,0,2.8752581200861167,2.020222182019865
497,P05,Surface Treatment,M07,13.33,8.77,0.52,0.0369,5,0.4154,0.91,21.1,20.16,0,Afternoon,3,8,6,0,5.537282,0.039009723173500994,22.62,0.033579000000000005,0,3.095577608523707,0.41871033485818504
498,P10,Dispatch,M01,5.5,2.89,9.27,0.0818,24,0.5427,5.2,15.95,47.64,0,Morning,5,2,0,1,2.98485,1.6854514809973073,17.66,0.42536,0,2.830267833826459,2.329227023940467
499,P02,Cutting,M10,9.62,8.15,1.0,0.0442,2,0.3037,0.73,18.74,11.78,0,Morning,5,1,9,1,2.921594,0.10394999589397518,18.77,0.032266,0,2.9826470340053355,0.6931471805599453
500,P09,Storage,M04,2.63,0.5,5.3,0.1194,26,0.6767,13.46,8.83,59.08,1,Afternoon,4,7,3,0,1.7797209999999999,2.0152014631123074,8.43,1.6071240000000002,0,2.285438934159075,1.840549633397487
501,P05,Surface Treatment,M03,18.61,2.47,6.77,0.0473,0,0.4805,0.85,28.8,26.49,0,Morning,3,8,2,1,8.942105,0.36378271693567066,27.849999999999998,0.040205,0,3.3945083935113587,2.050270164379556
502,P06,Assembly,M10,23.12,3.3,13.9,0.1449,76,0.8112,2.0,39.84,76.95,1,Morning,5,0,9,1,18.754944000000002,0.601210812625081,40.32,0.2898,1,3.7096619932964647,2.7013612129514133
503,P08,Packaging,M10,6.93,2.34,11.62,0.0805,18,0.9183,8.3,21.05,95.88,1,Afternoon,5,4,9,0,6.3638189999999994,1.6767652571929912,20.89,0.66815,0,3.093312601892855,2.5352828571130672
504,P04,Welding,M08,20.17,4.42,12.94,0.1047,1,0.9511,2.02,37.85,68.01,1,Morning,5,9,7,1,19.183687,0.641546533690365,37.53,0.21149400000000002,0,3.6597080768136565,2.6347624053323777
505,P10,Dispatch,M03,4.24,11.52,3.7,0.0934,14,0.6159,7.33,19.46,51.77,0,Morning,1,2,2,1,2.611416,0.8726394513220489,19.46,0.684622,0,3.0184717605234805,1.547562508716013
506,P06,Assembly,M08,24.65,0.5,26.48,0.0977,36,0.8304,1.57,53.73,64.55,1,Morning,4,0,7,1,20.469359999999998,1.074238915116059,51.629999999999995,0.153389,0,4.0024120051558265,3.3134584673541485
507,P03,Forming,M05,19.57,6.86,4.64,0.186,38,0.3017,0.66,31.62,21.37,1,Morning,3,3,4,1,5.904269,0.23709747721130442,31.07,0.12276000000000001,0,3.484925597192868,1.7298840655099674
508,P10,Dispatch,M03,4.27,1.39,23.94,0.0563,70,0.6325,8.55,30.15,60.88,1,Morning,1,2,2,1,2.7007749999999997,5.606544246968978,29.6,0.48136500000000004,1,3.4388142452334622,3.2164729402518906
509,P05,Surface Treatment,M08,15.62,7.9,3.13,0.101,9,0.8358,2.77,26.8,72.15,1,Morning,1,8,7,1,13.055195999999999,0.20038399463252585,26.65,0.27977,0,3.3250360206965914,1.4182774069729414
510,P01,Raw Material Intake,M09,5.12,0.5,1.54,0.0406,10,0.6898,8.06,7.8,68.74,0,Night,2,6,8,2,3.531776,0.30078066253776853,7.16,0.32723599999999997,0,2.174751721484161,0.9321640810304452
511,P04,Welding,M02,27.54,3.81,2.4,0.1164,59,0.345,1.32,34.46,60.64,1,Afternoon,3,9,1,0,9.501299999999999,0.0871459378555055,33.75,0.153648,1,3.5684053006460617,1.2237754316221157
512,P04,Welding,M03,30.4,7.37,21.65,0.0897,97,0.4908,0.37,60.53,18.87,1,Morning,3,9,2,1,14.92032,0.7121708183648624,59.419999999999995,0.033189,1,4.119524860752399,3.120159851929043
513,P09,Storage,M02,2.82,0.5,11.72,0.1931,40,0.2871,5.38,13.01,25.29,1,Afternoon,2,7,1,0,0.8096220000000001,4.156013631157337,15.040000000000001,1.038878,1,2.6397713603489157,2.543175557911976
514,P07,Quality Inspection,M09,7.26,0.5,6.8,0.1973,9,0.6487,4.93,14.85,59.65,1,Afternoon,5,5,8,0,4.709562,0.9366378283225506,14.559999999999999,0.9726889999999999,0,2.7631695003232895,2.0541237336955462
515,P08,Packaging,M03,9.15,8.15,1.02,0.1159,25,0.5656,3.01,18.26,45.91,1,Morning,5,4,2,1,5.1752400000000005,0.11147528800514972,18.32,0.348859,0,2.9580304063699794,0.7030975114131134
516,P10,Dispatch,M09,4.78,2.1,16.55,0.0952,0,0.6998,8.32,23.19,66.29,1,Morning,5,2,8,1,3.345044,3.4623358528538644,23.43,0.7920640000000001,0,3.185939324621936,2.865053949911875
517,P05,Surface Treatment,M01,23.73,3.8,0.48,0.1861,7,0.2929,0.45,26.75,17.75,1,Morning,5,8,0,1,6.950517,0.020227551526526957,28.01,0.083745,0,3.3232358401924436,0.3920420877760237
518,P04,Welding,M06,23.87,12.25,12.71,0.1806,79,0.6154,1.6,49.54,63.76,1,Night,4,9,5,2,14.689598,0.5324673093978595,48.830000000000005,0.28896000000000005,1,3.922765101960048,2.6181254935742233
519,P05,Surface Treatment,M02,19.07,0.73,0.34,0.0873,35,0.7711,2.86,20.73,91.05,0,Night,3,8,1,2,14.704877,0.01782904151597194,20.14,0.24967799999999998,0,3.078693794268338,0.29266961396282
520,P07,Quality Inspection,M09,9.46,4.38,59.08,0.1936,61,0.6211,3.38,72.75,53.33,1,Morning,4,5,8,1,5.875606,6.245236527234114,72.92,0.654368,1,4.300680995219929,4.09567700745588
521,P09,Storage,M06,3.18,2.02,3.5,0.1048,0,0.4728,8.36,7.45,44.36,1,Night,1,7,5,2,1.5035040000000002,1.1006254697312272,8.7,0.876128,0,2.134166441369082,1.5040773967762742
522,P04,Welding,M08,25.16,3.66,99.89,0.1067,1,0.7384,2.11,125.66,88.48,1,Morning,2,9,7,1,18.578143999999998,3.9701892010376785,128.71,0.225137,0,4.841506331088285,4.614030814420288
523,P06,Assembly,M02,25.38,6.51,2.59,0.198,104,0.8467,1.29,36.73,54.37,1,Afternoon,1,0,1,0,21.489245999999998,0.1020488171596465,34.480000000000004,0.25542000000000004,1,3.6304555339762192,1.2781522025001875
524,P02,Cutting,M10,12.94,0.5,2.14,0.1303,19,0.2557,0.24,15.02,5.28,1,Morning,4,1,9,1,3.3087579999999996,0.16537854298412447,15.58,0.031272,0,2.7738379416402132,1.144222799920162
525,P01,Raw Material Intake,M02,5.08,19.93,2.06,0.1207,7,0.4713,5.84,26.27,49.44,1,Night,3,6,1,2,2.394204,0.4055110127735969,27.069999999999997,0.704888,0,3.305787196857497,1.1184149159642893
526,P02,Cutting,M01,12.53,5.74,5.16,0.1059,11,0.5764,3.63,23.18,75.92,1,Night,2,1,0,2,7.2222919999999995,0.4118113233748417,23.43,0.38441699999999995,0,3.1855258451866466,1.8180767775454285
527,P06,Assembly,M08,24.14,4.9,30.27,0.1624,109,0.7331,1.5,57.87,60.28,1,Morning,1,0,7,1,17.697034,1.253934857524914,59.31,0.24359999999999998,1,4.07533162304017,3.44265917146975
528,P09,Storage,M09,2.74,3.04,8.32,0.0696,22,0.7893,14.82,13.26,67.56,0,Night,2,7,8,2,2.162682,3.03648526830194,14.100000000000001,1.031472,0,2.65745841498615,2.2321626286975
529,P07,Quality Inspection,M10,4.96,2.96,10.58,0.0981,7,0.695,7.46,18.51,61.68,0,Afternoon,4,5,9,0,3.4471999999999996,2.133060215604404,18.5,0.7318260000000001,0,2.97092715463502,2.449279472144849
530,P05,Surface Treatment,M04,16.5,6.32,7.19,0.0739,7,0.5272,1.89,30.07,51.92,0,Morning,2,8,3,1,8.6988,0.4357573116622354,30.01,0.139671,0,3.436242723404956,2.1029138978649784
531,P07,Quality Inspection,M06,7.46,6.11,6.89,0.1382,49,0.5551,4.66,19.0,57.86,1,Afternoon,3,5,5,0,4.141046,0.9235912552396043,20.46,0.6440119999999999,1,2.995732273553991,2.065596134857783
532,P03,Forming,M06,10.51,17.32,0.44,0.0706,6,0.249,1.51,27.71,26.43,0,Morning,1,3,5,1,2.61699,0.04186485074704972,28.27,0.10660599999999999,0,3.3572454941329726,0.3646431135879093
