Record_ID,Process_ID,Process_Name,Machine_ID,Cycle_Time_min,Setup_Time_min,Waiting_Time_min,Defect_Rate,Inventory_Level,Machine_Utilization,Production_Output_units_hr,Lead_Time_min,Efficiency_Score,Is_Bottleneck,Shift,Day_Of_Week
236,P05,Surface Treatment,M06,18.14,2.72,4.57,0.0393,6,0.6367,2.14,24.67,64.69,0,Afternoon,5
237,P08,Packaging,M03,7.94,0.5,9.89,0.0929,11,0.6615,4.95,17.5,65.47,0,Morning,2
238,P09,Storage,M06,2.62,4.45,0.35,0.0735,25,0.5393,11.95,7.11,52.14,0,Morning,2
239,P04,Welding,M01,19.57,4.16,21.76,0.2215,2,0.8111,2.16,47.53,70.5,1,Morning,1
240,P04,Welding,M07,20.0,1.87,10.58,0.1689,72,0.6653,0.97,32.8,32.41,1,Afternoon,2
241,P03,Forming,M02,13.06,5.05,2.54,0.0526,34,0.4317,1.51,21.89,32.81,0,Morning,1
242,P09,Storage,M06,3.83,0.58,1.43,0.1611,39,0.551,7.32,6.2,46.7,1,Morning,1
243,P08,Packaging,M10,6.72,0.5,0.97,0.0598,5,0.6251,5.6,7.43,62.65,0,Afternoon,3
244,P03,Forming,M06,15.53,1.83,9.82,0.1062,17,0.6694,1.11,26.41,28.8,1,Afternoon,2
245,P06,Assembly,M02,22.88,4.99,6.31,0.215,0,0.7412,1.67,32.05,63.54,1,Afternoon,5
246,P07,Quality Inspection,M09,9.64,5.44,18.1,0.1253,85,0.833,3.38,33.26,54.26,1,Morning,1
247,P07,Quality Inspection,M09,13.3,2.86,50.69,0.1257,12,0.6696,2.72,66.56,60.2,1,Night,1
248,P01,Raw Material Intake,M08,3.94,0.5,6.81,0.0583,2,0.6038,9.14,11.15,59.92,0,Afternoon,3
249,P07,Quality Inspection,M10,8.36,10.5,29.67,0.1386,82,0.9301,5.63,49.44,78.44,1,Night,5
250,P05,Surface Treatment,M10,12.88,8.54,2.06,0.0791,4,0.5809,1.66,21.41,35.62,0,Morning,2
251,P07,Quality Inspection,M10,9.83,1.77,7.73,0.176,6,0.8021,3.93,19.54,64.43,1,Night,2
252,P01,Raw Material Intake,M04,4.36,1.71,2.37,0.0683,3,0.4073,5.23,7.44,38.0,0,Afternoon,3
253,P02,Cutting,M06,13.01,2.67,0.2,0.083,9,0.4854,1.72,17.05,37.24,0,Afternoon,5
254,P02,Cutting,M01,12.67,8.26,0.36,0.1217,3,0.4376,2.41,20.67,50.91,1,Morning,4
255,P08,Packaging,M09,6.86,3.73,7.12,0.0567,9,0.1456,1.27,16.98,14.48,0,Night,1
256,P05,Surface Treatment,M05,15.39,0.8,1.77,0.0973,52,0.5262,2.68,19.5,68.71,0,Morning,4
257,P05,Surface Treatment,M02,26.69,1.12,11.05,0.274,7,0.3563,1.56,38.73,69.31,1,Morning,1
258,P02,Cutting,M05,7.65,2.82,1.87,0.11,31,0.5549,2.86,11.99,36.51,1,Morning,2
259,P08,Packaging,M07,10.6,2.21,5.04,0.1372,6,0.3496,1.27,15.25,22.36,1,Night,4
260,P01,Raw Material Intake,M08,6.14,3.58,2.8,0.1651,9,0.4726,4.07,14.43,41.68,1,Night,3
261,P02,Cutting,M06,11.83,3.44,0.98,0.0416,17,0.6882,2.77,17.17,54.56,0,Night,5
262,P07,Quality Inspection,M05,14.37,1.09,4.76,0.1627,54,0.5135,2.18,19.85,52.2,1,Afternoon,4
263,P07,Quality Inspection,M04,8.59,0.96,24.58,0.1674,6,0.5589,2.46,33.47,35.18,1,Morning,4
264,P10,Dispatch,M05,4.48,0.5,2.87,0.153,8,0.5147,6.25,5.77,46.66,1,Night,2
265,P06,Assembly,M01,23.4,4.88,1.3,0.2419,16,0.4019,0.71,30.3,27.56,1,Morning,2
266,P10,Dispatch,M09,4.46,0.63,0.19,0.1653,0,0.9097,9.87,4.97,73.41,1,Morning,2
267,P07,Quality Inspection,M04,11.41,1.67,14.56,0.0991,9,0.8067,3.2,27.83,60.92,0,Morning,3
268,P03,Forming,M10,12.14,6.97,11.83,0.0829,0,0.6541,3.44,31.71,69.53,0,Morning,5
269,P05,Surface Treatment,M10,20.27,6.35,1.58,0.1505,10,0.8612,2.5,27.22,84.39,1,Night,5
270,P05,Surface Treatment,M01,16.96,7.33,2.77,0.0676,1,0.5813,2.3,25.96,64.94,0,Night,4
271,P05,Surface Treatment,M01,23.11,1.21,4.94,0.0729,61,0.7366,2.26,29.66,87.24,0,Afternoon,1
272,P07,Quality Inspection,M02,8.82,4.69,11.76,0.2333,21,0.5012,2.3,25.58,33.76,1,Afternoon,4
273,P01,Raw Material Intake,M09,3.9,4.4,1.48,0.0801,14,0.4085,5.55,11.52,36.12,0,Night,4
274,P04,Welding,M03,17.94,9.94,13.1,0.1958,11,0.86,2.35,39.12,70.42,1,Afternoon,5
275,P03,Forming,M02,15.34,0.97,3.6,0.0923,12,0.5501,2.62,18.94,67.03,0,Afternoon,1
276,P01,Raw Material Intake,M07,6.28,0.5,0.24,0.1338,12,0.5564,4.68,8.41,49.0,1,Night,4
277,P10,Dispatch,M06,5.33,11.98,7.69,0.1292,1,0.6718,6.75,24.87,59.94,1,Night,1
278,P01,Raw Material Intake,M03,4.6,2.97,6.55,0.1262,5,0.4717,5.99,14.83,45.94,1,Afternoon,3
279,P04,Welding,M09,27.27,0.5,5.96,0.2745,16,0.6119,2.23,33.69,101.47,1,Morning,3
280,P08,Packaging,M05,8.44,4.73,2.32,0.0987,11,0.2463,1.54,16.56,21.65,0,Morning,1
281,P01,Raw Material Intake,M10,4.45,1.51,0.05,0.0782,16,0.6695,7.94,5.77,58.9,0,Afternoon,1
282,P09,Storage,M08,2.55,11.3,17.0,0.0495,6,0.5499,11.69,28.82,49.68,1,Morning,4
283,P07,Quality Inspection,M02,9.8,7.56,14.78,0.1991,94,0.9477,5.45,31.24,89.01,1,Night,5
284,P02,Cutting,M03,12.43,0.63,0.36,0.1278,1,0.3428,1.04,13.42,21.62,1,Morning,4
285,P08,Packaging,M03,7.61,8.05,1.38,0.0897,30,0.5762,3.94,16.88,49.93,0,Afternoon,1
286,P04,Welding,M02,24.88,7.27,7.25,0.1072,59,0.8781,2.13,38.75,88.21,1,Afternoon,5
287,P03,Forming,M03,15.39,6.4,0.96,0.0428,11,0.8028,3.07,20.95,78.82,0,Afternoon,5
288,P07,Quality Inspection,M06,10.96,1.8,46.0,0.0991,72,0.8345,3.17,58.75,57.85,1,Morning,3
289,P02,Cutting,M07,6.31,0.56,5.24,0.2111,2,0.7764,5.62,12.69,59.12,1,Afternoon,2
290,P03,Forming,M09,14.55,13.47,9.77,0.0976,18,0.4905,2.2,38.14,53.39,0,Afternoon,3
291,P07,Quality Inspection,M01,9.75,0.5,9.0,0.1966,27,0.8081,4.3,18.5,69.88,1,Night,1
292,P03,Forming,M10,15.13,5.42,8.49,0.1201,8,0.4367,1.52,29.41,38.36,1,Night,3
293,P06,Assembly,M10,22.67,9.13,41.93,0.1,121,0.7567,2.39,72.85,90.38,1,Night,5
294,P06,Assembly,M04,25.5,1.04,4.07,0.1579,2,0.7684,0.75,31.28,31.74,1,Morning,3
295,P01,Raw Material Intake,M08,5.84,1.15,2.17,0.151,65,0.4192,4.3,9.88,41.84,1,Night,4
296,P06,Assembly,M05,29.9,3.44,60.04,0.1242,77,0.56,0.81,93.36,40.54,1,Night,4
297,P04,Welding,M08,21.58,1.33,3.41,0.1013,29,0.8547,1.46,26.63,52.48,1,Morning,2
298,P01,Raw Material Intake,M05,4.81,14.72,1.15,0.047,4,0.1,1.61,18.84,12.88,0,Afternoon,3
299,P01,Raw Material Intake,M05,3.86,0.51,0.91,0.1296,15,0.5642,8.37,5.23,53.83,1,Night,3
300,P09,Storage,M01,2.67,0.89,5.88,0.1453,48,0.8813,17.47,8.67,77.7,1,Night,2
301,P01,Raw Material Intake,M05,5.37,1.46,0.35,0.1195,5,0.6731,6.47,7.45,57.92,1,Morning,3
302,P03,Forming,M02,14.09,4.53,0.57,0.0642,49,0.4621,2.0,18.59,46.99,0,Morning,3
303,P10,Dispatch,M09,4.7,1.51,0.49,0.0535,47,0.6036,7.21,4.76,56.47,0,Morning,2
304,P08,Packaging,M09,8.0,0.68,4.36,0.1913,8,0.6908,4.61,13.43,61.45,1,Morning,4
305,P06,Assembly,M05,19.8,1.35,4.75,0.1045,160,0.8532,2.34,25.6,77.33,1,Afternoon,2
306,P10,Dispatch,M07,4.37,10.52,1.57,0.1361,11,0.2964,4.25,16.5,30.96,1,Morning,2
307,P02,Cutting,M05,10.87,4.93,2.22,0.0909,49,0.3657,1.14,17.98,20.64,0,Afternoon,5
308,P10,Dispatch,M06,4.86,3.34,13.66,0.1686,53,0.7575,7.32,23.02,59.28,1,Night,2
309,P02,Cutting,M03,11.75,3.64,0.44,0.1624,3,0.3014,1.81,17.39,35.35,1,Night,5
310,P09,Storage,M02,2.96,1.25,3.81,0.0745,0,0.6553,12.62,6.96,62.24,0,Morning,2
311,P06,Assembly,M03,30.33,2.62,78.5,0.1996,50,0.6349,0.97,111.53,48.85,1,Afternoon,4
312,P04,Welding,M01,17.57,8.18,37.96,0.1717,51,0.5022,1.48,61.67,43.23,1,Afternoon,4
313,P02,Cutting,M09,17.07,3.5,7.24,0.0522,41,0.3728,1.34,27.16,38.08,0,Morning,3
314,P05,Surface Treatment,M04,6.84,7.0,0.71,0.1119,38,0.5077,3.77,14.02,42.98,1,Afternoon,3
315,P02,Cutting,M04,12.71,0.51,1.6,0.1739,10,0.4548,1.39,14.97,29.43,1,Morning,1
316,P01,Raw Material Intake,M10,2.68,9.43,3.4,0.115,10,0.2616,5.03,15.43,22.47,1,Morning,4
317,P10,Dispatch,M10,6.45,7.42,0.56,0.0661,23,0.4335,3.17,15.64,34.05,0,Morning,1
318,P06,Assembly,M08,29.77,0.5,21.81,0.1224,145,0.8343,2.67,51.11,132.23,1,Night,3
319,P10,Dispatch,M01,5.56,3.66,1.34,0.174,2,0.4561,4.17,12.31,38.66,1,Morning,4
320,P03,Forming,M01,15.15,1.78,0.82,0.1515,1,0.52,1.31,18.92,32.99,1,Afternoon,2
321,P08,Packaging,M05,8.85,7.06,0.5,0.0943,22,0.7542,4.96,15.63,73.1,0,Night,5
322,P04,Welding,M02,22.2,0.5,11.96,0.1363,30,0.876,1.84,32.81,68.21,1,Afternoon,5
323,P01,Raw Material Intake,M07,5.79,0.58,2.47,0.067,2,0.451,4.35,9.63,41.93,0,Morning,4
324,P08,Packaging,M08,6.3,2.56,2.16,0.0982,9,0.5346,5.06,10.21,53.08,0,Afternoon,2
325,P06,Assembly,M04,23.63,0.5,8.77,0.2427,21,0.5088,0.45,33.62,17.71,1,Afternoon,3
326,P02,Cutting,M09,9.88,0.91,7.98,0.0726,8,0.6099,3.92,19.25,64.54,0,Morning,2
327,P03,Forming,M06,15.01,19.93,0.51,0.2018,1,0.502,2.12,36.47,53.08,1,Morning,5
328,P03,Forming,M01,13.79,6.25,1.16,0.1482,12,0.7016,2.27,20.97,52.23,1,Afternoon,3
329,P08,Packaging,M07,10.45,2.41,2.93,0.0849,8,0.419,2.65,15.93,46.06,0,Afternoon,5
330,P05,Surface Treatment,M10,19.01,5.78,6.15,0.0693,22,0.8408,2.44,31.18,77.34,0,Morning,5
331,P10,Dispatch,M07,4.77,7.19,11.53,0.0552,32,0.5186,6.68,23.9,53.09,0,Afternoon,2
332,P08,Packaging,M09,7.15,3.06,14.5,0.0721,12,0.8995,7.64,24.74,91.14,1,Afternoon,1
333,P07,Quality Inspection,M08,13.22,3.73,25.32,0.1771,66,0.8277,3.69,43.09,81.42,1,Morning,4
334,P08,Packaging,M07,10.21,12.55,2.9,0.1706,21,0.5175,2.13,26.33,36.23,1,Morning,1
335,P09,Storage,M07,1.86,12.35,7.18,0.0506,6,0.7272,22.73,21.59,70.42,0,Night,4
336,P05,Surface Treatment,M06,18.36,4.13,4.02,0.0408,0,0.405,1.31,25.8,40.14,0,Night,2
337,P01,Raw Material Intake,M06,5.63,1.06,4.78,0.0824,23,0.4195,3.8,10.7,35.67,0,Night,4
338,P07,Quality Inspection,M10,10.14,2.98,31.84,0.2557,38,0.6698,3.15,44.87,53.22,1,Morning,2
339,P04,Welding,M07,17.95,0.5,24.48,0.1215,26,0.4127,1.23,43.03,36.69,1,Morning,4
340,P09,Storage,M07,2.84,2.15,12.83,0.115,38,0.6327,12.2,19.2,57.76,1,Afternoon,5
341,P07,Quality Inspection,M05,9.15,9.21,16.18,0.2051,109,0.8448,4.61,33.67,70.35,1,Afternoon,3
342,P06,Assembly,M02,24.95,6.81,27.75,0.1628,1,0.9175,1.96,60.45,81.68,1,Afternoon,2
343,P07,Quality Inspection,M06,9.17,5.97,16.42,0.1002,4,0.473,2.56,30.78,39.15,1,Afternoon,1
344,P03,Forming,M01,10.82,12.19,10.35,0.0311,6,0.694,3.55,35.73,64.08,0,Morning,4
345,P01,Raw Material Intake,M08,7.38,2.28,8.23,0.1248,40,0.5442,3.62,17.92,44.51,1,Afternoon,5
346,P06,Assembly,M06,13.35,7.56,29.15,0.1406,85,0.7582,4.04,49.17,90.01,1,Morning,2
347,P02,Cutting,M06,13.23,5.98,0.47,0.045,44,0.4883,1.43,21.57,31.61,0,Afternoon,2
348,P05,Surface Treatment,M01,12.36,4.25,2.92,0.1854,8,0.4213,1.36,20.26,28.09,1,Morning,5
349,P08,Packaging,M08,8.92,6.98,0.09,0.1085,22,0.5844,3.79,15.0,56.29,1,Afternoon,2
350,P03,Forming,M01,12.02,2.2,8.27,0.1607,7,0.7399,3.45,22.77,69.08,1,Morning,1
351,P06,Assembly,M02,26.42,2.68,1.87,0.1675,3,0.3833,0.1,30.32,4.4,1,Night,4
352,P02,Cutting,M09,11.38,2.69,0.84,0.1443,11,0.7076,3.42,15.58,64.79,1,Night,1
353,P03,Forming,M09,13.26,3.65,4.43,0.1216,18,0.5652,2.47,23.74,54.67,1,Morning,4
354,P05,Surface Treatment,M04,19.57,5.05,0.9,0.0432,90,0.6338,2.43,24.61,79.18,0,Night,1
355,P02,Cutting,M01,15.06,1.81,2.54,0.1336,7,0.6517,2.27,19.22,56.99,1,Afternoon,1
356,P09,Storage,M10,2.1,8.69,4.16,0.1066,1,0.6551,17.09,15.78,59.84,1,Morning,2
357,P10,Dispatch,M01,5.69,0.5,3.58,0.0742,68,0.4079,3.34,9.07,31.61,0,Morning,1
358,P03,Forming,M03,15.49,0.5,1.98,0.0446,1,0.7099,2.78,16.71,71.76,0,Night,3
359,P09,Storage,M05,2.25,1.68,3.25,0.0454,0,0.4041,10.34,7.12,38.79,0,Afternoon,1
360,P03,Forming,M02,18.69,9.01,7.05,0.057,15,0.7931,2.78,35.5,86.74,0,Morning,4
361,P01,Raw Material Intake,M03,5.79,0.5,0.3,0.0974,22,0.7565,7.17,6.73,69.23,0,Afternoon,4
362,P09,Storage,M10,3.62,1.93,0.49,0.0569,7,0.3705,5.99,6.87,36.12,0,Morning,1
363,P01,Raw Material Intake,M08,4.63,10.71,0.1,0.1038,34,0.1893,2.43,15.48,18.7,1,Morning,3
364,P02,Cutting,M07,13.44,9.24,2.25,0.0624,1,0.9388,4.19,25.55,93.75,1,Morning,2
365,P06,Assembly,M04,20.59,1.97,12.8,0.1986,21,0.817,0.78,34.81,26.63,1,Afternoon,3
366,P01,Raw Material Intake,M05,5.67,7.28,2.16,0.1767,4,0.7484,7.08,15.12,66.9,1,Morning,4
367,P03,Forming,M04,17.25,1.85,9.79,0.066,19,0.4495,0.79,28.48,22.72,0,Afternoon,3
368,P09,Storage,M02,3.39,13.49,2.41,0.1104,53,0.2547,3.89,19.32,21.94,1,Afternoon,5
369,P08,Packaging,M07,9.1,2.06,2.46,0.1011,0,0.5524,2.35,13.26,35.65,1,Morning,5
370,P08,Packaging,M06,7.11,0.5,12.83,0.0858,36,0.3956,2.91,19.01,34.52,0,Morning,2
371,P09,Storage,M10,3.41,3.75,17.44,0.0563,3,0.3492,5.47,24.95,31.09,1,Night,4
372,P06,Assembly,M08,21.07,7.25,1.45,0.1442,40,0.5624,1.96,29.2,68.83,1,Afternoon,5
373,P05,Surface Treatment,M01,18.33,1.83,5.33,0.0696,14,0.8137,1.03,25.47,31.49,0,Afternoon,5
374,P08,Packaging,M06,6.69,11.77,8.51,0.1558,65,0.9372,6.61,26.82,73.73,1,Afternoon,3
375,P02,Cutting,M09,7.24,0.78,1.47,0.122,6,0.7914,6.21,9.82,74.88,1,Morning,1
376,P09,Storage,M03,2.65,2.61,2.42,0.0747,14,0.397,9.31,7.28,41.17,0,Night,5
377,P09,Storage,M10,2.55,0.58,14.73,0.0864,15,0.8579,18.03,19.76,76.73,0,Night,4
378,P02,Cutting,M08,14.06,0.89,8.37,0.1165,7,0.688,3.46,23.88,80.96,1,Morning,5
379,P02,Cutting,M04,9.52,3.32,2.19,0.1004,11,0.4266,3.07,16.98,48.64,1,Morning,3
380,P01,Raw Material Intake,M05,5.02,3.94,1.67,0.0445,2,0.6719,7.06,9.72,59.04,0,Afternoon,4
381,P01,Raw Material Intake,M01,5.34,0.5,12.25,0.0658,68,0.2604,2.37,20.06,21.08,0,Night,4
382,P01,Raw Material Intake,M09,3.68,8.39,6.79,0.0779,16,0.378,5.7,17.83,34.97,0,Morning,5
383,P03,Forming,M05,14.38,5.19,0.07,0.1119,24,0.6198,2.61,18.81,62.51,1,Morning,1
384,P02,Cutting,M10,10.13,4.63,0.64,0.153,1,0.426,2.44,14.81,41.13,1,Afternoon,5
385,P05,Surface Treatment,M03,11.97,0.69,0.09,0.0493,12,0.7983,3.54,12.54,70.54,0,Morning,4
386,P07,Quality Inspection,M01,9.88,3.92,7.27,0.2136,58,0.7922,2.55,20.77,42.03,1,Afternoon,2
387,P01,Raw Material Intake,M03,4.37,1.01,2.83,0.107,0,0.3482,4.56,8.66,33.18,1,Night,4
388,P05,Surface Treatment,M05,18.35,2.87,1.56,0.0658,5,0.6631,1.91,21.38,58.45,0,Night,3
389,P06,Assembly,M07,17.4,2.03,34.06,0.0828,0,0.5669,1.7,50.6,49.44,1,Afternoon,1
390,P02,Cutting,M01,13.03,0.93,1.59,0.1342,61,0.7544,3.01,14.91,65.39,1,Afternoon,2
391,P01,Raw Material Intake,M01,5.68,1.03,1.27,0.1224,8,0.7053,6.99,9.25,66.19,1,Night,2
392,P03,Forming,M02,18.73,5.11,1.5,0.2492,36,0.6207,2.08,24.11,64.8,1,Morning,4
393,P10,Dispatch,M09,4.57,0.91,0.24,0.0603,58,0.8552,9.87,5.51,75.26,0,Afternoon,2
394,P08,Packaging,M03,5.68,1.73,2.49,0.179,1,0.4774,4.57,8.5,43.33,1,Night,3
395,P04,Welding,M01,18.21,5.57,10.03,0.2583,36,0.6624,2.09,32.58,63.38,1,Morning,5
396,P01,Raw Material Intake,M02,5.23,7.38,10.64,0.1311,36,0.6545,6.33,23.83,55.24,1,Morning,3
397,P03,Forming,M01,11.97,3.6,5.26,0.0775,13,0.7015,3.1,18.87,61.8,0,Afternoon,5
398,P06,Assembly,M01,22.06,3.61,4.47,0.2307,3,0.6727,1.27,32.2,46.62,1,Afternoon,5
399,P05,Surface Treatment,M01,22.08,0.5,6.48,0.0463,7,0.5147,1.5,27.21,55.18,0,Morning,3
400,P03,Forming,M07,15.61,4.33,4.05,0.0763,19,0.4255,1.62,24.96,42.02,0,Morning,3
401,P03,Forming,M10,14.14,6.21,0.53,0.0939,8,0.6948,2.66,20.2,62.78,0,Morning,2
402,P05,Surface Treatment,M07,11.24,1.26,12.78,0.1067,0,0.5922,3.18,25.15,59.49,1,Afternoon,4
403,P08,Packaging,M09,9.13,1.17,5.47,0.1223,7,0.7887,4.73,16.81,71.92,1,Morning,1
404,P04,Welding,M09,14.94,11.01,14.65,0.1869,43,0.5354,1.82,39.26,45.31,1,Afternoon,1
405,P05,Surface Treatment,M10,22.43,1.31,6.92,0.1556,20,0.852,2.46,30.35,91.98,1,Afternoon,5
406,P01,Raw Material Intake,M03,5.66,1.14,0.79,0.1155,32,0.8113,8.18,8.81,77.14,1,Morning,1
407,P03,Forming,M02,15.07,2.82,1.31,0.1303,10,0.5312,1.76,19.91,44.26,1,Morning,4
408,P02,Cutting,M04,7.39,0.5,3.76,0.0513,12,0.4404,3.84,12.11,47.29,0,Morning,2
409,P07,Quality Inspection,M04,10.64,1.44,36.23,0.1102,54,0.8427,3.88,46.43,68.77,1,Morning,4
410,P10,Dispatch,M02,6.44,2.12,2.21,0.0864,9,0.506,4.8,10.9,51.51,0,Morning,3
411,P02,Cutting,M05,9.39,3.5,8.09,0.07,13,0.5463,3.73,21.81,58.35,0,Morning,3
412,P08,Packaging,M09,6.99,8.33,0.46,0.1073,22,0.6542,4.61,16.07,53.75,1,Afternoon,4
413,P07,Quality Inspection,M03,12.06,0.56,19.81,0.0957,189,0.8023,3.54,32.51,71.15,1,Afternoon,1
414,P01,Raw Material Intake,M01,4.4,2.4,0.76,0.1588,59,0.6935,8.97,7.92,65.8,1,Night,3
415,P10,Dispatch,M07,3.45,20.06,11.41,0.112,1,0.6337,10.12,35.39,58.2,1,Night,3
416,P08,Packaging,M04,9.96,3.3,1.95,0.0666,23,0.4964,2.1,15.94,34.9,0,Morning,2
417,P04,Welding,M09,23.84,0.5,51.17,0.1816,59,0.6795,2.01,76.2,79.68,1,Night,2
418,P06,Assembly,M06,19.56,3.05,44.9,0.2143,13,0.8272,1.72,68.64,56.23,1,Afternoon,2
419,P09,Storage,M09,2.93,1.58,9.66,0.103,24,0.7736,14.12,15.15,68.99,1,Morning,4
420,P05,Surface Treatment,M09,20.25,1.99,9.83,0.0976,3,0.4284,0.97,32.24,32.83,0,Morning,1
421,P06,Assembly,M10,31.95,2.31,13.31,0.2652,57,0.6984,1.51,47.6,80.56,1,Night,4
422,P10,Dispatch,M01,5.43,1.42,8.23,0.0606,65,0.4313,4.62,14.7,41.85,0,Morning,4
423,P03,Forming,M02,12.29,0.94,3.77,0.1553,6,0.6687,3.01,17.37,61.65,1,Morning,5
424,P04,Welding,M09,20.33,5.87,10.36,0.1244,40,0.6117,0.93,35.88,31.43,1,Afternoon,4
425,P08,Packaging,M08,7.99,10.2,0.67,0.2349,25,0.5487,2.59,19.43,34.49,1,Morning,4
426,P09,Storage,M06,2.76,0.5,1.27,0.1311,8,0.7148,13.69,5.77,62.95,1,Afternoon,3
427,P06,Assembly,M03,21.39,13.36,2.35,0.2392,31,0.6998,1.64,37.6,58.37,1,Morning,2
428,P03,Forming,M10,13.5,2.09,0.92,0.0649,2,0.2415,0.89,17.7,20.11,0,Afternoon,5
429,P03,Forming,M05,11.19,5.51,0.21,0.1803,4,0.6593,3.36,16.85,62.72,1,Morning,3
430,P10,Dispatch,M07,4.54,8.46,0.32,0.3001,20,0.7574,7.21,13.85,54.53,1,Morning,5
431,P10,Dispatch,M10,5.56,0.5,3.57,0.1157,0,0.56,5.08,9.14,47.07,1,Morning,3
432,P03,Forming,M07,9.75,0.5,4.65,0.0783,39,0.4662,2.27,14.18,36.9,0,Night,4
433,P05,Surface Treatment,M04,17.65,11.7,0.59,0.0958,10,0.5508,1.1,30.21,32.31,0,Morning,2
434,P05,Surface Treatment,M01,20.62,0.5,3.15,0.1212,7,0.7853,2.03,23.99,69.79,1,Morning,5
435,P05,Surface Treatment,M04,18.88,7.21,2.96,0.1015,11,0.8037,2.04,28.45,64.27,1,Afternoon,3
436,P02,Cutting,M08,14.19,1.49,3.38,0.1009,18,0.245,1.41,20.19,33.42,1,Night,5
437,P06,Assembly,M10,24.21,9.49,37.45,0.2115,3,0.726,1.79,71.92,72.05,1,Night,4
438,P08,Packaging,M09,8.37,1.46,1.29,0.0552,85,0.5163,3.33,10.73,46.41,0,Afternoon,3
439,P05,Surface Treatment,M09,17.85,3.91,1.51,0.1374,20,0.5785,1.99,23.93,59.33,1,Afternoon,1
440,P06,Assembly,M07,21.01,5.09,61.29,0.1369,5,0.649,1.43,86.3,50.04,1,Afternoon,4
441,P09,Storage,M08,3.09,7.26,0.48,0.1187,2,0.7111,12.26,9.08,63.21,1,Morning,2
442,P06,Assembly,M06,21.52,0.5,18.14,0.1285,62,0.4525,1.06,40.96,37.99,1,Night,3
443,P07,Quality Inspection,M05,8.5,3.34,23.92,0.1391,4,0.3792,1.39,35.21,19.62,1,Night,2
444,P01,Raw Material Intake,M08,4.16,8.49,0.68,0.0935,32,0.5304,5.95,14.2,41.24,0,Morning,5
445,P09,Storage,M05,3.28,5.76,7.85,0.0899,4,0.6794,11.2,16.01,61.24,0,Afternoon,1
446,P04,Welding,M10,15.22,0.86,7.5,0.1254,38,0.7032,1.8,21.89,45.75,1,Morning,5
447,P10,Dispatch,M07,5.09,3.34,4.98,0.1144,7,0.4502,4.78,15.63,40.53,1,Morning,4
448,P09,Storage,M03,3.11,9.43,0.1,0.0429,23,0.3291,6.53,12.04,33.8,0,Night,2
449,P10,Dispatch,M08,3.36,1.54,3.84,0.0787,4,0.7828,12.65,7.9,70.84,0,Afternoon,2
450,P10,Dispatch,M02,2.89,2.84,2.66,0.1001,24,0.6205,11.58,7.27,55.82,1,Morning,2
451,P03,Forming,M01,11.54,0.5,8.26,0.1241,7,0.7762,3.25,19.05,62.55,1,Morning,2
452,P06,Assembly,M01,29.18,2.36,1.3,0.1282,49,0.6218,1.32,33.68,63.96,1,Morning,5
453,P02,Cutting,M02,10.02,11.0,9.33,0.1893,7,0.6979,2.73,29.68,45.54,1,Morning,2
454,P08,Packaging,M10,10.49,1.45,3.03,0.1028,1,0.5672,2.92,14.3,51.11,1,Afternoon,4
455,P04,Welding,M03,23.06,6.15,27.56,0.1354,11,0.8095,2.6,56.92,99.96,1,Morning,4
456,P10,Dispatch,M06,4.81,0.5,0.13,0.1358,13,0.6665,7.02,4.87,56.28,1,Night,2
457,P04,Welding,M04,24.28,4.18,12.76,0.1014,113,0.6793,1.15,40.18,46.53,1,Afternoon,1
458,P10,Dispatch,M03,4.73,3.39,2.07,0.1191,4,0.3915,3.64,11.06,28.64,1,Morning,4
459,P07,Quality Inspection,M03,11.28,1.79,68.85,0.0999,38,0.7134,3.48,80.68,65.39,1,Morning,5
460,P01,Raw Material Intake,M09,6.08,4.26,9.61,0.1244,54,0.2486,1.91,19.92,19.33,1,Afternoon,4
461,P08,Packaging,M07,10.95,0.55,3.03,0.0465,25,0.6753,2.83,15.91,51.64,0,Morning,2
462,P05,Surface Treatment,M07,21.16,12.93,0.6,0.0885,17,0.5208,1.9,35.62,67.1,0,Afternoon,4
463,P08,Packaging,M04,6.12,9.45,1.77,0.0839,14,0.6481,5.34,17.84,54.5,0,Night,5
464,P08,Packaging,M09,4.48,0.8,2.79,0.0802,26,0.4976,5.92,9.06,44.25,0,Morning,5
465,P04,Welding,M07,22.0,4.7,20.63,0.1087,31,0.6894,1.47,45.71,53.86,1,Night,2
466,P07,Quality Inspection,M06,11.11,2.07,7.79,0.1886,15,0.2636,1.65,22.71,30.5,1,Afternoon,3
467,P07,Quality Inspection,M01,11.93,2.5,6.17,0.2153,23,0.724,3.22,19.04,64.08,1,Afternoon,3
468,P02,Cutting,M05,15.31,4.43,1.45,0.079,14,0.4646,0.95,22.39,24.15,0,Morning,4
469,P09,Storage,M05,2.0,2.29,0.44,0.1293,33,0.758,20.21,2.79,67.46,1,Afternoon,1
470,P02,Cutting,M04,11.64,8.25,2.3,0.063,14,0.9163,3.51,20.47,68.03,1,Afternoon,1
471,P03,Forming,M06,19.03,15.3,3.64,0.0394,17,0.6451,2.21,38.37,70.15,0,Morning,2
472,P06,Assembly,M09,27.64,9.75,6.19,0.1072,63,0.6573,1.67,44.23,76.87,1,Afternoon,2
473,P05,Surface Treatment,M09,18.98,1.28,4.74,0.0909,14,0.5478,1.45,26.18,45.89,0,Night,3
